#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000235532.9	NM_145047	OSCP1
ENST00000373116.5	NM_031280	MRPS15
ENST00000366645.1	NM_175876	EXOC8
ENST00000366647.8	NM_014236	GNPAT
ENST00000366639.8	NM_005999	TSNAX
ENST00000358011.8	NM_017850	C1orf109
ENST00000373001.3	NM_022157	RRAGC
ENST00000264187.6	NM_002508	NID1
ENST00000526589.5	NM_006499	LGALS8
ENST00000235628.1	NM_032526	NT5C1A
ENST00000372844.7	NM_016257	HPCAL4
ENST00000366577.9	NM_000254	MTR
ENST00000372827.7	NM_001720	BMP8B
ENST00000372816.2	NM_001033081	MYCL
ENST00000366630.5	NM_020808	SIPA1L2
ENST00000611898.4	NM_021186	ZP4
ENST00000372771.4	NM_012421	RLF
ENST00000366559.8	NM_003679	KMO
ENST00000372699.7	NM_152373	ZNF684
ENST00000642618.1	NM_004700	KCNQ4
ENST00000372684.7	NM_014747	RIMS3
ENST00000366539.5	NM_005465,	AKT3,
ENST00000368192.8	NM_001145312	ETV3
ENST00000370841.8	NM_000016	ACADM
ENST00000477717.5	NM_030965	ST6GALNAC5
ENST00000302035.10	NM_003037	SLAMF1
ENST00000368046.7	NM_001778	CD48
ENST00000370730.5	NM_001297704	ADGRL2
ENST00000375486.8	NM_007365	PADI2
ENST00000375499.7	NM_003000	SDHB
ENST00000375535.3	NM_002403	MFAP2
ENST00000370654.5	NM_025065	RPF1
ENST00000367265.8	NM_006618	KDM5B
ENST00000271469.7	NM_001324116	UAP1
ENST00000375406.1	NM_030812	ACTL8
ENST00000370630.5	NM_004388	CTBS
ENST00000367909.10	NM_005613	RGS4
ENST00000367261.7	NM_021633	KLHL12
ENST00000251296.3	NM_032880	IGSF21
ENST00000342203.7	NM_001166293	SSX2IP
ENST00000370574.3	NM_017953	ZNHIT6
ENST00000375105.7	NM_012400	PLA2G2D
ENST00000264515.10	NM_005057	RBBP5
ENST00000370481.8	NM_018284	GBP3
ENST00000370473.4	NM_002053	GBP1
ENST00000451424.1	NR_046507	PINK1-AS
ENST00000247986.2	NM_020816	KIF17
ENST00000313835.13	NM_001097612	GPR89A
ENST00000506784.5	NM_212503	CDK18
ENST00000367139.7	NM_003929	RAB29
ENST00000369288.6	NM_007053	CD160
ENST00000374893.10	NM_001397	ECE1
ENST00000374490.7	NM_000191	HMGCL
ENST00000617979.4	NM_001008216	GALE
ENST00000374561.5	NM_002167,	ID3,
ENST00000367058.7	NM_001877	CR2
ENST00000322875.8	NM_172359	CD46
ENST00000324862.6	NM_004698	PRPF3
ENST00000369109.7	NM_001077628	APH1A
ENST00000296388.9	NM_022356	P3H1
ENST00000426263.8	NM_006516	SLC2A1
ENST00000236051.2	NM_006824	EBNA1BP2
ENST00000310955.10	NM_001255	CDC20
ENST00000372470.8	NM_005373	MPL
ENST00000414809.7	NM_057090	ARTN
ENST00000372343.7	NM_014652	IPO13
ENST00000472174.6	NM_004047	ATP6V0B
ENST00000372324.5	NM_003780	B4GALT2
ENST00000372257.6	NM_024066	ERI3
ENST00000372192.3	NM_003738	PTCH2
ENST00000372070.7	NM_006066	AKR1A1
ENST00000319248.12	NM_181697	PRDX1
ENST00000420542.5	NM_001114172	PIK3R3
ENST00000372003.5	NM_005727	TSPAN1
ENST00000329281.6	NM_003666	BLZF1
ENST00000545005.5	NM_001300968	CCDC181
ENST00000236137.9	NM_006996	SLC19A2
ENST00000243167.8	NM_001441	FAAH
ENST00000474844.5	NM_199044	NSUN4
ENST00000370282.7	NM_016040	TMED5
ENST00000367758.7	NM_025063	MROH9
ENST00000370272.8	NM_001938	DR1
ENST00000639957.1	NR_002601	FMO6P
ENST00000370206.8	NM_001839	CNN3
ENST00000338920.8	NM_015172	PRRC2C
ENST00000334047.11	NM_001993	F3
ENST00000370214.8	NM_002858	ABCD3
ENST00000236192.11	NM_003762	VAMP4
ENST00000370109.7	NM_015958	DPH5
ENST00000367721.2	NM_000639	FASLG
ENST00000426398.2	NM_021190	PTBP2
ENST00000281834.3	NM_003326	TNFSF4
ENST00000340385.5	NM_004905	PRDX6
ENST00000361951.5	NM_018122	DARS2
ENST00000367028.6	NM_001206741	HSD11B1
ENST00000367021.7	NM_006147	IRF6
ENST00000491415.6	NM_014388	UTP25
ENST00000263177.4	NM_001037317	PLPPR5
ENST00000370185.7	NM_014839	PLPPR4
ENST00000367698.3	NM_000488	SERPINC1
ENST00000374395.8	NM_013441	RCAN3
ENST00000236273.8	NM_015484	SYF2
ENST00000243189.11	NM_020317	RSRP1
ENST00000533028.7	NM_012243	SLC35A3
ENST00000419091.6	NM_001136223	RCOR3
ENST00000357865.6	NM_203399	STMN1
ENST00000374303.6	NM_001099625	MTFR1L
ENST00000374332.8	NM_020379	MAN1C1
ENST00000366999.8	NM_002497	NEK2
ENST00000374168.6	NM_002953,	RPS6KA1,
ENST00000360009.6	NM_024887	DHDDS
ENST00000366988.4	NM_013349	NENF
ENST00000366977.7	NM_015471	NSL1
ENST00000498508.6	NM_001270616	PROX1
ENST00000324856.12	NM_006015	ARID1A
ENST00000366955.7	NM_016343	CENPF
ENST00000373912.7	NM_002946	RPA2
ENST00000311772.9	NM_014110	PPP1R8
ENST00000373943.8	NM_177424	STX12
ENST00000366913.7	NM_017898	MARC2
ENST00000438567.6	NM_001011547	SLC5A9
ENST00000428468.5	NM_024586	OSBPL9
ENST00000371626.8	NM_015913	TXNDC12
ENST00000367350.4	NM_014875	KIF14
ENST00000509001.5	NM_001276347	TNNT2
ENST00000331314.10	NM_001031725	DDX59
ENST00000358823.6	NM_203459	CAMSAP2
ENST00000367942.3	NM_007348	ATF6
ENST00000369102.5	NM_001301040	C1orf54
ENST00000369111.8	NM_012113	CA14
ENST00000370944.8	NM_030816	ANKRD13C
ENST00000371037.8	NM_032291	SGIP1
ENST00000369563.3	NM_022836	DCLRE1B
ENST00000261448.5	NM_001232	CASQ2
ENST00000370103.8	NM_058170	OLFM3
ENST00000358951.6	NM_012414	RAB3GAP2
ENST00000366663.9	NM_032800	C1orf198
ENST00000366653.5	NM_001004342	TRIM67
ENST00000366582.7	NM_018072	HEATR1
ENST00000373103.5	NM_156039	CSF3R
ENST00000239462.8	NM_022093	TNN
ENST00000476371.1	NM_022100	MRPS14
ENST00000367710.7	NM_033319	CENPL
ENST00000404377.3	NM_005092	TNFSF18
ENST00000308284.10	NM_033127	SEC16B
ENST00000367763.7	NM_152281	GORAB
ENST00000373824.8	NM_005644	TAF12
ENST00000376468.3	NM_002521	NPPB
ENST00000376810.5	NM_013319	UBIAD1
ENST00000240185.7	NM_007375	TARDBP
ENST00000263932.6	NM_001243	TNFRSF8
ENST00000240189.2	NM_023014,	PRAMEF2,
ENST00000371522.8	NM_001198961	ECHDC2
ENST00000294854.12	NM_001137669	RGSL1
ENST00000263726.3	NM_033343	LHX4
ENST00000367510.7	NM_007212	RNF2
ENST00000367506.9	NM_030934	TRMT1L
ENST00000369235.1	n/a	n/a
ENST00000302550.15	NM_016076	DESI2
ENST00000373655.6	NM_001294335	ADGRB2
ENST00000403528.6	NM_001525	HCRTR1
ENST00000344147.9	NM_016505	ZCCHC17
ENST00000373713.6	NM_004102	FABP3
ENST00000327300.11	NM_006559	KHDRBS1
ENST00000336294.9	NM_018056	TMEM39B
ENST00000369314.1	NM_032305	POLR3GL
ENST00000373463.7	NM_033504	TMEM54
ENST00000361328.7	NM_145238	ZSCAN20
ENST00000373388.6	NM_052896	CSMD2
ENST00000373467.3	NM_002143	HPCA
ENST00000369763.4	NM_018372	LRIF1
ENST00000369716.8	NM_020683	TMIGD3
ENST00000369970.7	NM_015127	CLCC1
ENST00000406462.6	NM_001321039	GPSM2
ENST00000354955.4	NM_002023	FMOD
ENST00000241651.4	NM_002479	MYOG
ENST00000442561.6	NM_017773	LAX1
ENST00000241704.7	NM_004371	COPA
ENST00000368034.8	NM_016382	CD244
ENST00000263285.10	NM_002348	LY9
ENST00000644759.1	NM_000969	RPL5
ENST00000294678.6	NM_020729	ODF2L
ENST00000370758.5	NM_000959	PTGFR
ENST00000490879.7	NM_001310156	SPATA1
ENST00000370141.6	NM_019083	TRMT13
ENST00000342895.7	NM_001256386	LRRC39
ENST00000370202.4	NM_015485	RWDD3
ENST00000337393.9	NM_201269	ZNF644
ENST00000343253.11	NM_001306076	CCDC18
ENST00000610020.1	NM_024813	RPAP2
ENST00000262662.5	NM_001262	CDKN2C
ENST00000242719.3	NM_014372	RNF11
ENST00000576409.5	NM_022745	ATPAF1
ENST00000360380.7	NM_001282936	STIL
ENST00000366997.8	NM_014873	LPGAT1
ENST00000243440.1	NM_018664	BATF3
ENST00000367029.4	NM_015714	G0S2
ENST00000367080.7	NM_006212	PFKFB2
ENST00000367070.7	NM_000715	C4BPA
ENST00000367078.7	NM_001017365	C4BPB
ENST00000245564.6	NM_018116	MSTO1
ENST00000368243.5	NM_006365	C1orf61
ENST00000371120.7	NM_178221	ATG4C
ENST00000374612.5	NM_005826,	HNRNPR,
ENST00000314011.8	NM_001077195,	ZNF436,
ENST00000373237.3	NM_002794	PSMB2
ENST00000373191.8	NM_024852	AGO3
ENST00000246337.8	NM_000374	UROD
ENST00000347631.7	NM_006279	ST3GAL3
ENST00000372237.7	NM_024587	TMEM53
ENST00000372172.4	NM_024602	HECTD3
ENST00000263697.5	NM_014280,	DNAJC8,
ENST00000247087.10	NM_001029882	AHDC1
ENST00000339145.8	NM_022873	IFI6
ENST00000435064.5	NM_017871	INTS11
ENST00000543215.5	NM_144766	RGS13
ENST00000372583.5	NM_024503	HIVEP3
ENST00000372561.3	NM_024664	PPCS
ENST00000372587.4	NM_001956	EDN2
ENST00000374298.3	NM_024037	AUNIP
ENST00000477853.5	NM_015047	EMC1
ENST00000375108.3	NM_000929	PLA2G5
ENST00000375254.7	NM_020765	UBR4
ENST00000312239.9	NM_016287	HP1BP3
ENST00000567887.5	NM_012090	MACF1
ENST00000252992.8	NM_022778	CEP85
ENST00000378378.8	NM_014448	ARHGEF16
ENST00000378251.2	NM_020710	LRRC47
ENST00000253063.3	NM_031459,	SESN2,
ENST00000373894.7	NM_014474	SMPDL3B
ENST00000335514.9	NM_016311,	ATP5IF1,
ENST00000373842.8	NM_017638,	MED18,
ENST00000373921.7	NM_001105556	THEMIS2
ENST00000253251.12	NM_006048	UBE4B
ENST00000377022.7	NM_001079843	CASZ1
ENST00000357771.4	NM_030772	GJA9
ENST00000372797.7	NM_001350480	CAP1
ENST00000642050.1	NM_000310	PPT1
ENST00000354700.9	NM_030649	ACAP3
ENST00000421241.6	NM_017891	C1orf159
ENST00000377443.6	NM_001215	CA6
ENST00000378156.8	NM_015102	NPHP4
ENST00000369258.8	NM_004284	CHD1L
ENST00000369306.7	NM_003846	PEX11B
ENST00000254090.8	NM_001461	FMO5
ENST00000393045.6	NM_006099	PIAS3
ENST00000254101.3	NM_005399	PRKAB2
ENST00000254227.3	NM_021969	NR0B2
ENST00000326279.10	NM_024674	LIN28A
ENST00000371847.7	NM_019073	SPATA6
ENST00000617190.4	NM_006369	LRRC41
ENST00000236938.10	NM_032738	FCRLA
ENST00000254521.7	NM_016371	HSD17B7
ENST00000370920.7	NM_203350	ZRANB2
ENST00000368336.9	NM_001199849	DAP3
ENST00000537040.5	NM_020407	RHBG
ENST00000368321.7	NM_014949	KHDC4
ENST00000368081.8	NM_144699	ATP1A4
ENST00000368223.3	NM_006617	NES
ENST00000329117.9	NM_021948	BCAN
ENST00000255030.9	NM_000567	CRP
ENST00000368194.7	NM_198236	ARHGEF11
ENST00000361084.9	NM_020387	RAB25
ENST00000255039.5	NM_021817	HAPLN2
ENST00000255040.2	NM_001639	APCS
ENST00000361516.7	NM_030764	FCRL2
ENST00000368074.5	NM_015726	DCAF8
ENST00000368324.4	NM_152280	SYT11
ENST00000401061.8	NM_015506	MMACHC
ENST00000255108.7	NM_001384	DPH2
ENST00000372090.5	NM_025077	TOE1
ENST00000351223.7	NM_152298	NASP
ENST00000372098.7	NM_012222	MUTYH
ENST00000642238.1	NM_001350145	PATJ
ENST00000371153.8	NM_181712	KANK4
ENST00000371129.3	NM_014495	ANGPTL3
ENST00000376770.5	NM_001014765	FBXO44
ENST00000375599.7	NM_030907	CPLANE2
ENST00000333868.9	NM_001229	CASP9
ENST00000255380.8	NM_000740	CHRM3
ENST00000255409.7	NM_001276	CHI3L1
ENST00000255416.8	NM_004997	MYBPH
ENST00000367187.7	NM_002646	PIK3C2B
ENST00000367162.7	NM_015375	DSTYK
ENST00000367229.5	NM_003465	CHIT1
ENST00000367137.3	NM_173854	SLC41A1
ENST00000255432.11	NM_021636	LGR6
ENST00000329800.7	NM_001297613	TMCC2
ENST00000374632.7	NM_004442	EPHB2
ENST00000323848.13	NM_005839	SRRM1
ENST00000351050.7	NM_005272	GNAT2
ENST00000309851.9	NM_000561	GSTM1
ENST00000370025.8	NM_018061	PRPF38B
ENST00000256585.9	NM_032044	REG4
ENST00000369516.6	NM_005725	TSPAN2
ENST00000256592.2	NM_000549	TSHB
ENST00000256593.7	NM_000851	GSTM5
ENST00000256594.7	NM_000849	GSTM3
ENST00000369547.5	NM_001270805	SYT6
ENST00000370056.8	NM_006113	VAV3
ENST00000369740.5	NM_201653	CHIA
ENST00000369909.6	NM_001032291	PSRC1
ENST00000369406.7	NM_005518	HMGCS2
ENST00000359785.9	NM_015967	PTPN22
ENST00000256637.7	NM_002959	SORT1
ENST00000369684.4	NM_024494	WNT2B
ENST00000393203.2	NM_020440	PTGFRN
ENST00000256644.8	NM_006402	LAMTOR5
ENST00000369400.1	NM_021794	ADAM30
ENST00000256646.6	NM_024408	NOTCH2
ENST00000256649.8	NM_025188	TRIM45
ENST00000545121.5	NM_001007794	CEPT1
ENST00000369470.1	NM_001256109	CD101
ENST00000369458.7	NM_024626	VTCN1
ENST00000369512.2	NM_002506	NGF
ENST00000256658.8	NM_006594	AP4B1
ENST00000367416.6	NM_001201551	CFHR4
ENST00000367296.8	NM_020443	NAV1
ENST00000650099.1	NM_024529	CDC73
ENST00000367287.4	NM_006335	TIMM17A
